"Registration.date","Total.usage.time","Pets","Carpet.score","Sent.for.repair","Failure.date","Battery.status","Impact.status","IR.status","Possession.time"
2019-07-29,233,0,5,0,2019-12-31,0,0,0,3720
2019-09-08,152,0,3,0,2019-12-31,0,0,0,2736
2016-06-06,475,0,2,1,2017-11-07,0,0,1,12456
2019-02-25,326,0,4,0,2019-12-31,0,0,0,7416
2018-03-17,1018,1,4,0,2019-12-31,0,0,0,15696
2017-08-05,1312,0,2,0,2019-12-31,0,0,0,21072
2018-09-07,1172,1,4,0,2019-12-31,0,0,0,11520
2015-09-03,2679,1,2,1,2019-02-23,1,0,0,30456
2018-04-14,464,0,3,0,2019-12-31,0,0,0,15024
2018-07-11,536,0,3,0,2019-12-31,0,0,0,12912
2017-04-15,987,0,6,0,2019-12-31,0,0,0,23760
2018-08-06,561,0,2,0,2019-12-31,0,0,0,12288
2019-09-03,107,0,2,0,2019-12-31,0,0,0,2856
2016-04-11,1400,1,4,1,2017-09-08,1,0,0,12360
2017-04-24,295,0,4,1,2018-10-26,0,0,1,13200
2019-09-13,134,0,2,0,2019-12-31,0,0,0,2616
2019-11-22,59,0,3,0,2019-12-31,0,0,0,936
2015-08-03,1393,0,2,0,2019-12-31,0,0,0,38664
2017-05-17,853,0,5,0,2019-12-31,0,0,0,22992
2017-10-20,824,0,5,0,2019-12-31,0,0,0,19248
2019-07-09,456,1,3,0,2019-12-31,0,0,0,4200
2015-09-11,1682,0,5,0,2019-12-31,0,0,0,37728
2019-12-11,37,1,4,0,2019-12-31,0,0,0,480
2019-09-25,80,0,3,0,2019-12-31,0,0,0,2328
2015-05-31,1618,0,2,0,2019-12-31,0,0,0,40200
2017-07-27,1791,1,6,0,2019-12-31,0,0,0,21288
2016-12-13,28,1,2,1,2016-12-26,0,0,1,312
2019-07-12,208,0,4,0,2019-12-31,0,0,0,4128
2017-03-27,2474,1,3,1,2019-10-18,1,0,0,22440
2019-03-07,216,0,3,0,2019-12-31,0,0,0,7176
